Location,Date,Temp_C,Cloud_MinRatio,Precipitation_MM,Snow_CM,Sakura,Maple,Ginko,Hydrangea ,Plum,FujiSnow_CM,,,
Tokyo,05/31,20.4,7.8,4.4,0,-,-,-,-,-,196,,,
Tokyo,06/01,20.5,7.9,4.4,0,-,-,-,-,-,121,,,
Tokyo,06/02,20.6,7.9,4.5,0,-,-,-,-,-,121,,,
Tokyo,06/03,20.7,8,4.5,0,-,-,-,-,-,121,,,
Tokyo,06/04,20.7,8.1,4.6,0,-,-,-,-,-,121,,,
Tokyo,06/05,20.8,8.1,4.8,0,-,-,-,Flowering,-,121,,,
Tokyo,06/06,20.9,8.2,5,0,-,-,-,-,-,121,,,
Tokyo,06/07,20.9,8.2,5.3,0,-,-,-,-,-,121,,,
Tokyo,06/08,21,8.3,5.5,0,-,-,-,-,-,121,,,
Tokyo,06/09,21.1,8.4,5.8,0,-,-,-,-,-,121,,,
Tokyo,06/10,21.2,8.4,6,0,-,-,-,-,-,121,,,
Tokyo,06/11,21.2,8.5,6.2,0,-,-,-,-,-,121,,,
Tokyo,06/12,21.3,8.5,6.4,0,-,-,-,-,-,121,,,
Tokyo,06/13,21.5,8.6,6.5,0,-,-,-,-,-,121,,,
Tokyo,06/14,21.6,8.6,6.6,0,-,-,-,-,-,121,,,
Tokyo,06/15,21.7,8.6,6.6,0,-,-,-,-,-,121,,,
Tokyo,06/16,21.8,8.7,6.6,0,-,-,-,-,-,121,,,
Tokyo,06/17,21.9,8.7,6.6,0,-,-,-,-,-,121,,,
Tokyo,06/18,22.1,8.7,6.5,0,-,-,-,-,-,121,,,
Tokyo,06/19,22.2,8.8,6.4,0,-,-,-,-,-,121,,,
Tokyo,06/20,22.3,8.8,6.3,0,-,-,-,-,-,121,,,
Tokyo,06/21,22.4,8.8,6.2,0,-,-,-,-,-,121,,,
Tokyo,06/22,22.5,8.8,6,0,-,-,-,-,-,121,,,
Tokyo,06/23,22.7,8.8,5.9,0,-,-,-,-,-,121,,,
Tokyo,06/24,22.8,8.8,5.8,0,-,-,-,-,-,121,,,
Tokyo,06/25,23,8.8,5.7,0,-,-,-,-,-,121,,,
Tokyo,06/26,23.2,8.8,5.6,0,-,-,-,-,-,121,,,
Tokyo,06/27,23.3,8.7,5.5,0,-,-,-,-,-,121,,,
Tokyo,06/28,23.5,8.7,5.5,0,-,-,-,-,-,121,,,
Tokyo,06/29,23.7,8.6,5.6,0,-,-,-,-,-,121,,,
Tokyo,06/30,23.8,8.6,5.7,0,-,-,-,-,-,121,,,
Tokyo,07/01,24,8.5,5.8,0,-,-,-,-,-,11,,,
Tokyo,07/02,24.2,8.5,5.9,0,-,-,-,-,-,11,,,
Tokyo,07/03,24.3,8.4,6,0,-,-,-,-,-,11,,,
Tokyo,07/04,24.4,8.4,6.1,0,-,-,-,-,-,11,,,
Tokyo,07/05,24.6,8.3,6.2,0,-,-,-,-,-,11,,,
Tokyo,07/06,24.7,8.3,6.3,0,-,-,-,-,-,11,,,
Tokyo,07/07,24.8,8.2,6.3,0,-,-,-,-,-,11,,,
Tokyo,07/08,24.9,8.2,6.2,0,-,-,-,-,-,11,,,
Tokyo,07/09,25.1,8.2,6.1,0,-,-,-,-,-,11,,,
Tokyo,07/10,25.2,8.2,6.1,0,-,-,-,-,-,11,,,
Tokyo,07/11,25.3,8.1,5.9,0,-,-,-,-,-,11,,,
Tokyo,07/12,25.4,8.1,5.8,0,-,-,-,-,-,11,,,
Tokyo,07/13,25.5,8.1,5.6,0,-,-,-,-,-,11,,,
Tokyo,07/14,25.6,8.1,5.4,0,-,-,-,-,-,11,,,
Tokyo,07/15,25.7,8.1,5.2,0,-,-,-,-,-,11,,,
Tokyo,07/16,25.7,8.1,5.1,0,-,-,-,-,-,11,,,
Tokyo,07/17,25.8,8.1,4.9,0,-,-,-,-,-,11,,,
Tokyo,07/18,25.9,8.1,4.7,0,-,-,-,-,-,11,,,
Tokyo,07/19,26,8.1,4.6,0,-,-,-,-,-,11,,,
Tokyo,07/20,26.1,8,4.4,0,-,-,-,-,-,11,,,
Tokyo,07/21,26.2,8,4.3,0,-,-,-,-,-,11,,,
Tokyo,07/22,26.3,8,4.2,0,-,-,-,-,-,11,,,
Tokyo,07/23,26.4,7.9,4.1,0,-,-,-,-,-,11,,,
Tokyo,07/24,26.5,7.9,4,0,-,-,-,-,-,11,,,
Tokyo,07/25,26.6,7.8,3.9,0,-,-,-,-,-,11,,,
Tokyo,07/26,26.7,7.7,3.8,0,-,-,-,-,-,11,,,
Tokyo,07/27,26.8,7.7,3.7,0,-,-,-,-,-,11,,,
Tokyo,07/28,26.9,7.6,3.6,0,-,-,-,-,-,11,,,
Tokyo,07/29,27,7.5,3.5,0,-,-,-,-,-,11,,,
Tokyo,07/30,27.1,7.5,3.4,0,-,-,-,-,-,11,,,
Tokyo,07/31,27.1,7.4,3.3,0,-,-,-,-,-,11,,,
Tokyo,08/01,27.2,7.3,3.3,0,-,-,-,-,-,0,,,
Tokyo,08/02,27.2,7.3,3.3,0,-,-,-,-,-,0,,,
Tokyo,08/03,27.3,7.2,3.4,0,-,-,-,-,-,0,,,
Tokyo,08/04,27.3,7.2,3.4,0,-,-,-,-,-,0,,,
Tokyo,08/05,27.3,7.2,3.5,0,-,-,-,-,-,0,,,
Tokyo,08/06,27.3,7.2,3.7,0,-,-,-,-,-,0,,,
Tokyo,08/07,27.3,7.2,3.8,0,-,-,-,-,-,0,,,
Tokyo,08/08,27.3,7.3,4,0,-,-,-,-,-,0,,,
Tokyo,08/09,27.3,7.3,4.1,0,-,-,-,-,-,0,,,
Tokyo,08/10,27.3,7.3,4.3,0,-,-,-,-,-,0,,,
Tokyo,08/11,27.2,7.3,4.5,0,-,-,-,-,-,0,,,
Tokyo,08/12,27.2,7.4,4.6,0,-,-,-,-,-,0,,,
Tokyo,08/13,27.1,7.4,4.7,0,-,-,-,-,-,0,,,
Tokyo,08/14,27.1,7.4,4.9,0,-,-,-,-,-,0,,,
Tokyo,08/15,27,7.4,5,0,-,-,-,-,-,0,,,
Tokyo,08/16,26.9,7.4,5.1,0,-,-,-,-,-,0,,,
Tokyo,08/17,26.9,7.4,5.2,0,-,-,-,-,-,0,,,
Tokyo,08/18,26.8,7.5,5.4,0,-,-,-,-,-,0,,,
Tokyo,08/19,26.8,7.5,5.5,0,-,-,-,-,-,0,,,
Tokyo,08/20,26.7,7.5,5.6,0,-,-,-,-,-,0,,,
Tokyo,08/21,26.6,7.5,5.7,0,-,-,-,-,-,0,,,
Tokyo,08/22,26.6,7.5,5.8,0,-,-,-,-,-,0,,,
Tokyo,08/23,26.5,7.5,5.9,0,-,-,-,-,-,0,,,
Tokyo,08/24,26.4,7.5,6,0,-,-,-,-,-,0,,,
Tokyo,08/25,26.3,7.5,6.1,0,-,-,-,-,-,0,,,
Tokyo,08/26,26.2,7.6,6.1,0,-,-,-,-,-,0,,,
Tokyo,08/27,26.2,7.6,6.2,0,-,-,-,-,-,0,,,
Tokyo,08/28,26.1,7.6,6.2,0,-,-,-,-,-,0,,,
Tokyo,08/29,26,7.6,6.2,0,-,-,-,-,-,0,,,
Tokyo,08/30,25.9,7.6,6.3,0,-,-,-,-,-,0,,,
Tokyo,08/31,25.8,7.6,6.4,0,-,-,-,-,-,0,,,
Tokyo,09/01,25.7,7.7,6.5,0,-,-,-,-,-,4,,,
Tokyo,09/02,25.6,7.7,6.6,0,-,-,-,-,-,4,,,
Tokyo,09/03,25.5,7.7,6.8,0,-,-,-,-,-,4,,,
Tokyo,09/04,25.4,7.7,7,0,-,-,-,-,-,4,,,
Tokyo,09/05,25.3,7.7,7.2,0,-,-,-,-,-,4,,,
Tokyo,09/06,25.2,7.7,7.4,0,-,-,-,-,-,4,,,
Tokyo,09/07,25,7.7,7.6,0,-,-,-,-,-,4,,,
Tokyo,09/08,24.9,7.8,7.7,0,-,-,-,-,-,4,,,
Tokyo,09/09,24.7,7.8,7.8,0,-,-,-,-,-,4,,,
Tokyo,09/10,24.6,7.8,7.9,0,-,-,-,-,-,4,,,
Tokyo,09/11,24.4,7.8,8,0,-,-,-,-,-,4,,,
Tokyo,09/12,24.2,7.8,8,0,-,-,-,-,-,4,,,
Tokyo,09/13,24,7.8,8.1,0,-,-,-,-,-,4,,,
Tokyo,09/14,23.8,7.8,8.1,0,-,-,-,-,-,4,,,
Tokyo,09/15,23.6,7.8,8.2,0,-,-,-,-,-,4,,,
Tokyo,09/16,23.3,7.9,8.3,0,-,-,-,-,-,4,,,
Tokyo,09/17,23.1,7.9,8.4,0,-,-,-,-,-,4,,,
Tokyo,09/18,22.9,7.9,8.4,0,-,-,-,-,-,4,,,
Tokyo,09/19,22.6,7.9,8.4,0,-,-,-,-,-,4,,,
Tokyo,09/20,22.4,7.9,8.4,0,-,-,-,-,-,4,,,
Tokyo,09/21,22.2,7.9,8.3,0,-,-,-,-,-,4,,,
Tokyo,09/22,21.9,7.9,8.1,0,-,-,-,-,-,4,,,
Tokyo,09/23,21.7,7.9,7.9,0,-,-,-,-,-,4,,,
Tokyo,09/24,21.5,7.9,7.8,0,-,-,-,-,-,4,,,
Tokyo,09/25,21.3,7.9,7.6,0,-,-,-,-,-,4,,,
Tokyo,09/26,21.2,7.9,7.4,0,-,-,-,-,-,4,,,
Tokyo,09/27,21,7.9,7.3,0,-,-,-,-,-,4,,,
Tokyo,09/28,20.9,7.8,7.3,0,-,-,-,-,-,4,,,
Tokyo,09/29,20.8,7.8,7.3,0,-,-,-,-,-,4,,,
Tokyo,09/30,20.6,7.8,7.5,0,-,-,-,-,-,4,,,
Tokyo,10/01,20.5,7.8,7.7,0,-,-,-,-,-,24,,,
Tokyo,10/02,20.3,7.8,8,0,-,-,-,-,-,24,,,
Tokyo,10/03,20.2,7.8,8.3,0,-,-,-,-,-,24,,,
Tokyo,10/04,20.1,7.8,8.7,0,-,-,-,-,-,24,,,
Tokyo,10/05,19.9,7.8,9,0,-,-,-,-,-,24,,,
Tokyo,10/06,19.7,7.7,9.2,0,-,-,-,-,-,24,,,
Tokyo,10/07,19.6,7.7,9.3,0,-,-,-,-,-,24,,,
Tokyo,10/08,19.4,7.7,9.4,0,-,-,-,-,-,24,,,
Tokyo,10/09,19.2,7.6,9.4,0,-,-,-,-,-,24,,,
Tokyo,10/10,19.1,7.5,9.2,0,-,-,-,-,-,24,,,
Tokyo,10/11,18.9,7.5,9,0,-,-,-,-,-,24,,,
Tokyo,10/12,18.7,7.4,8.7,0,-,-,-,-,-,24,,,
Tokyo,10/13,18.5,7.4,8.4,0,-,-,-,-,-,24,,,
Tokyo,10/14,18.3,7.3,8.1,0,-,-,-,-,-,24,,,
Tokyo,10/15,18.1,7.2,7.9,0,-,-,-,-,-,24,,,
Tokyo,10/16,17.9,7.2,7.7,0,-,-,-,-,-,24,,,
Tokyo,10/17,17.7,7.1,7.5,0,-,-,-,-,-,24,,,
Tokyo,10/18,17.5,7.1,7.3,0,-,-,-,-,-,24,,,
Tokyo,10/19,17.3,7,7.2,0,-,-,-,-,-,24,,,
Tokyo,10/20,17.2,7,7,0,-,-,-,-,-,24,,,
Tokyo,10/21,17,6.9,6.9,0,-,-,-,-,-,24,,,
Tokyo,10/22,16.8,6.8,6.7,0,-,-,-,-,-,24,,,
Tokyo,10/23,16.6,6.7,6.6,0,-,-,-,-,-,24,,,
Tokyo,10/24,16.5,6.6,6.3,0,-,-,-,-,-,24,,,
Tokyo,10/25,16.3,6.6,6.1,0,-,-,-,-,-,24,,,
Tokyo,10/26,16.1,6.5,5.7,0,-,-,-,-,-,24,,,
Tokyo,10/27,16,6.4,5.4,0,-,-,-,-,-,24,,,
Tokyo,10/28,15.8,6.3,5,0,-,-,-,-,-,24,,,
Tokyo,10/29,15.7,6.2,4.7,0,-,-,-,-,-,24,,,
Tokyo,10/30,15.5,6.2,4.3,0,-,-,-,-,-,24,,,
Tokyo,10/31,15.3,6.1,4,0,-,-,-,-,-,24,,,
Tokyo,11/01,15.2,6.1,3.7,0,-,-,-,-,-,52,,,
Tokyo,11/02,15,6,3.4,0,-,-,-,-,-,52,,,
Tokyo,11/03,14.8,6,3.2,0,-,-,-,-,-,52,,,
Tokyo,11/04,14.7,6,3.1,0,-,-,-,-,-,52,,,
Tokyo,11/05,14.5,6,3,0,-,-,-,-,-,52,,,
Tokyo,11/06,14.3,6,2.9,0,-,-,-,-,-,52,,,
Tokyo,11/07,14.1,6,2.9,0,-,-,-,-,-,52,,,
Tokyo,11/08,13.9,6,2.9,0,-,-,-,-,-,52,,,
Tokyo,11/09,13.8,6,3,0,-,-,-,-,-,52,,,
Tokyo,11/10,13.6,6,3.1,0,-,-,-,-,-,52,,,
Tokyo,11/11,13.4,6,3.1,0,-,-,-,-,-,52,,,
Tokyo,11/12,13.2,6,3.2,0,-,-,-,-,-,52,,,
Tokyo,11/13,13,6,3.2,0,-,-,-,-,-,52,,,
Tokyo,11/14,12.8,6,3.3,0,-,-,-,-,-,52,,,
Tokyo,11/15,12.6,6,3.4,0,-,-,-,-,-,52,,,
Tokyo,11/16,12.4,6,3.4,0,-,-,-,-,-,52,,,
Tokyo,11/17,12.2,6,3.5,0,-,-,-,-,-,52,,,
Tokyo,11/18,12,6,3.5,0,-,-,-,-,-,52,,,
Tokyo,11/19,11.8,5.9,3.6,0,-,-,-,-,-,52,,,
Tokyo,11/20,11.6,5.9,3.6,0,-,-,-,-,-,52,,,
Tokyo,11/21,11.4,5.9,3.6,0,-,-,-,-,-,52,,,
Tokyo,11/22,11.2,5.9,3.6,0,-,-,-,-,-,52,,,
Tokyo,11/23,11.1,5.9,3.5,0,-,-,Yellow leaves,-,-,52,,,
Tokyo,11/24,10.9,5.8,3.5,0,-,-,-,-,-,52,,,
Tokyo,11/25,10.8,5.8,3.4,0,-,-,-,-,-,52,,,
Tokyo,11/26,10.6,5.8,3.3,0,-,-,-,-,-,52,,,
Tokyo,11/27,10.5,5.7,3.2,0,-,-,-,-,-,52,,,
Tokyo,11/28,10.4,5.7,3.1,0,-,Autumn leaves,-,-,-,52,,,
Tokyo,11/29,10.2,5.7,3,0,-,-,-,-,-,52,,,
Tokyo,11/30,10.1,5.6,2.9,0,-,-,-,-,-,52,,,
Tokyo,12/01,9.9,5.6,2.8,0,-,-,-,-,-,97,,,
Tokyo,12/02,9.8,5.5,2.7,0,-,-,-,-,-,97,,,
Tokyo,12/03,9.6,5.5,2.6,0,-,-,Fallen leaves,-,-,97,,,
Tokyo,12/04,9.4,5.4,2.5,0,-,-,-,-,-,97,,,
Tokyo,12/05,9.3,5.4,2.4,0,-,-,-,-,-,97,,,
Tokyo,12/06,9.1,5.3,2.3,0,-,-,-,-,-,97,,,
Tokyo,12/07,8.9,5.2,2.2,0,-,-,-,-,-,97,,,
Tokyo,12/08,8.8,5.2,2.1,0,-,-,-,-,-,97,,,
Tokyo,12/09,8.6,5.1,2,0,-,-,-,-,-,97,,,
Tokyo,12/10,8.4,5.1,2,0,-,-,-,-,-,97,,,
Tokyo,12/11,8.3,5,1.9,0,-,-,-,-,-,97,,,
Tokyo,12/12,8.1,4.9,1.8,0,-,-,-,-,-,97,,,
Tokyo,12/13,8,4.8,1.7,0,-,Fallen leaves,-,-,-,97,,,
Tokyo,12/14,7.9,4.8,1.6,0,-,-,-,-,-,97,,,
Tokyo,12/15,7.7,4.7,1.6,0,-,-,-,-,-,97,,,
Tokyo,12/16,7.6,4.7,1.5,0,-,-,-,-,-,97,,,
Tokyo,12/17,7.5,4.6,1.5,0,-,-,-,-,-,97,,,
Tokyo,12/18,7.4,4.5,1.5,0,-,-,-,-,-,97,,,
Tokyo,12/19,7.3,4.5,1.5,0,-,-,-,-,-,97,,,
Tokyo,12/20,7.2,4.4,1.5,0,-,-,-,-,-,97,,,
Tokyo,12/21,7.1,4.4,1.6,0,-,-,-,-,-,97,,,
Tokyo,12/22,7,4.3,1.6,0,-,-,-,-,-,97,,,
Tokyo,12/23,6.8,4.3,1.6,0,-,-,-,-,-,97,,,
Tokyo,12/24,6.7,4.2,1.6,0,-,-,-,-,-,97,,,
Tokyo,12/25,6.6,4.1,1.6,0,-,-,-,-,-,97,,,
